"date","index_code","component_code","component_name","weight","url_hash"
"2026-06-30","000852","000727","冠捷科技","0.076000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000758","中色股份","0.094000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000762","西藏矿业","0.114000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000766","通化金马","0.192000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000767","晋控电力","0.085000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000778","新兴铸管","0.090000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000791","甘肃能源","0.076000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000795","英洛华","0.059000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000801","四川九洲","0.081000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000810","创维数字","0.078000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000811","冰轮环境","0.401000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000813","德展健康","0.039000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000828","东莞控股","0.040000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000829","天音控股","0.066000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000833","粤桂股份","0.096000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000837","秦川机床","0.070000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000848","承德露露","0.046000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000860","顺鑫农业","0.052000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000875","电投绿能","0.134000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000880","潍柴重机","0.055000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000885","城发环境","0.024000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000899","赣能股份","0.029000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000901","航天科技","0.102000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000902","新洋丰","0.074000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000913","钱江摩托","0.033000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000917","电广传媒","0.097000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000923","河钢资源","0.058000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000927","中国铁物","0.056000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
"2026-06-30","000852","000928","中钢国际","0.044000","f505b1f44033cf4df86bb95b2ffeac210bc67a45d09f08b08b4a77b281edb900"
