"sw_level1_name","component_count","avg_change_rate","turnover_delta_sum","avg_interval_return","avg_resonance_score","weighted_contribution_sum","strong_count","risk_count","sector_score"
"电子","108","0.0535518284713","0","0","0","1.47686846443555","54","0","3.5992513843671"
"机械设备","74","0.0229806344427945","0","0","0","0.413733395327832","18","0","1.61228075137214"
"国防军工","32","0.0182253007309088","0","0","0","0.0660507868409314","6","0","1.30320847808123"
"通信","27","0.0151518517561552","0","0","0","0.102563721907478","5","0","1.10345007645813"
"家用电器","10","0.0127716998774994","0","0","0","0.0164220317726259","2","0","0.948752426096583"
"计算机","63","0.0105626815923307","0","0","0","0.107782848051726","7","0","0.805177580564335"
"未映射","47","0.00892496484664689","0","0","0","0.0815219273321387","10","0","0.698734401544124"
"房地产","13","0.00837836385943719","0","0","0","0.0360468077948522","2","0","0.66320814409605"
"电力设备","82","0.00504011819381181","0","0","0","0.17114025404895","8","0","0.446239317260712"
"传媒","38","0.002953746614107","0","0","0","0.0208033527163148","2","0","0.310635877809728"
"非银金融","14","0.00290155700130496","0","0","0","0.00475385205931517","0","0","0.307243820964047"
"基础化工","66","0.00078628416560143","0","0","0","0.0539077016278013","7","0","0.169761948277102"
"商贸零售","20","-0.00183256680009084","0","0","0","-0.00105377941098426","1","0","-0.000449917054982368"
"公用事业","34","-0.00253845735893446","0","0","0","0.00317035894537741","0","0","-0.0463291787293173"
"医药生物","95","-0.00485756579068411","0","0","0","-0.0154456781160074","0","0","-0.197059318491634"
"社会服务","10","-0.00556019323418984","0","0","0","0.000519546065293066","1","0","-0.242726494424652"
"农林牧渔","15","-0.00561980238240183","0","0","0","-0.00519365292282254","1","0","-0.246600782973691"
"建筑装饰","22","-0.00615444946291515","0","0","0","0.0313217972152148","2","0","-0.28135009786816"
"汽车","52","-0.00671577808018083","0","0","0","0.0127985965055882","3","0","-0.317833575645527"
"有色金属","51","-0.00683144202578039","0","0","0","0.0201634889724869","5","0","-0.325351138191117"
"轻工制造","8","-0.0101267975863999","0","0","0","-0.00382542098222053","0","0","-0.539532328435837"
"环保","17","-0.0103632092174135","0","0","0","-0.0107571983167416","0","0","-0.554897870510656"
"交通运输","25","-0.0103738706908937","0","0","0","-0.013992705399431","0","0","-0.555590811541676"
"纺织服饰","9","-0.0114605819384996","0","0","0","-0.00471001380497626","0","0","-0.626221462523933"
"银行","13","-0.0114689706344036","0","0","0","-0.0126798789619189","0","0","-0.626766684682898"
"综合","2","-0.0115448014126828","0","0","0","-0.00143008501730252","0","0","-0.631695295890476"
"美容护理","6","-0.0142330134104332","0","0","0","-0.00317706740679621","0","0","-0.806415272147022"
"石油石化","3","-0.0144929453262787","0","0","0","-0.0024678835978836","0","0","-0.823309511962501"
"钢铁","8","-0.017752433570127","0","0","0","-0.00821309261329173","0","0","-1.03515951079081"
"食品饮料","21","-0.0199942703923957","0","0","0","-0.0203443872710822","0","0","-1.1808673927159"
"建筑材料","4","-0.0232655396001277","0","0","0","-0.00609763287358025","0","0","-1.39348309370303"
"煤炭","11","-0.0254629651136795","0","0","0","-0.0169144205837138","0","0","-1.53630446860746"
