"snapshot_time","symbol","component_name","weight","sw_level1_code","sw_level1_name","close","change_rate","interval_return","volume_delta","turnover","turnover_delta","weighted_change_contribution","resonance_score","risk_score","amplitude","ts_nanos","momentum_z","turnover_z","strength_z","risk_z","composite_score","prediction_label","reason"
"2026-07-09 15:51:58.867","000503.SZ","国新健康","0.049000","801750.SI","计算机","6.3","-0.004739336492890995","0","0","60207863.5","0","-0.000232227488151659","0","0","0.025276461295418662","1783583527970005381","0","0","-0.322629659791253","0","-0.322629659791253","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000506.SZ","招金黄金","0.078000","801050.SI","有色金属","13.41","-0.0007451564828614009","0","0","1119209826.38","0","-5.81222056631893E-05","0","0","0.07526080476900147","1783583521775212610","0","0","-0.212885899524023","0","-0.212885899524023","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000534.SZ","万泽股份","0.114000","801150.SI","医药生物","29.25","-0.00981719702098849","0","0","454750716.23","0","-0.00111916046039269","0","0","0.05145565335138793","1783583524674557735","0","0","-0.46214853652356","0","-0.46214853652356","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000543.SZ","皖能电力","0.088000","801160.SI","公用事业","7.56","-0.016905071521456438","0","0","227487505.12","0","-0.00148764629388817","0","0","0.028608582574772515","1783583521775256341","0","0","-0.656894391249774","0","-0.656894391249774","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000550.SZ","江铃汽车","0.035000","801880.SI","汽车","16.22","-0.02053140096618358","0","0","52087929","0","-0.000718599033816425","0","0","0.027777777777777825","1783583524085473558","0","0","-0.756531119747943","0","-0.756531119747943","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000552.SZ","甘肃能化","0.049000","801950.SI","煤炭","2.37","-0.0125","0","0","94270011.6","0","-0.0006125","0","0","0.02499999999999984","1783583527969944640","0","0","-0.535861009730462","0","-0.535861009730462","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000555.SZ","神州信息","0.072000","801750.SI","计算机","9.91","0.004052684903748734","0","0","187464516.16","0","0.000291793313069909","0","0","0.03546099290780138","1783583520981878667","0","0","-0.0810608056098311","0","-0.0810608056098311","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000563.SZ","陕国投A","0.087000","","未映射","2.85","-0.010416666666666666","0","0","102180653.96","0","-0.00090625","0","0","0.017361111111111046","1783583521492403421","0","0","-0.47861951502668","0","-0.47861951502668","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000567.SZ","海德股份","0.036000","801790.SI","非银金融","5.89","-0.00338409475465313","0","0","107296385.72","0","-0.000121827411167513","0","0","0.038917089678510916","1783583521775213970","0","0","-0.285393149656043","0","-0.285393149656043","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000581.SZ","威孚高科","0.083000","801880.SI","汽车","17.53","-0.008484162895927601","0","0","147177012.98","0","-0.000704185520361991","0","0","0.029411764705882328","1783583520709298151","0","0","-0.425522200934936","0","-0.425522200934936","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000600.SZ","建投能源","0.065000","801160.SI","公用事业","7.97","-0.014833127317676144","0","0","209015123.51","0","-0.000964153275648949","0","0","0.037082818294190335","1783583523898757523","0","0","-0.599965823329507","0","-0.599965823329507","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000603.SZ","盛达资源","0.098000","801050.SI","有色金属","21.91","-0.007249660172179429","0","0","734346416.86","0","-0.000710466696873584","0","0","0.06705935659265974","1783583522943065852","0","0","-0.391603105995782","0","-0.391603105995782","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000612.SZ","焦作万方","0.104000","801050.SI","有色金属","9.8","-0.02777777777777778","0","0","403571868.25","0","-0.00288888888888889","0","0","0.06150793650793643","1783583523898577261","0","0","-0.955631970891535","0","-0.955631970891535","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000620.SZ","盈新发展","0.126000","801180.SI","房地产","3.3","0.04100946372239748","0","0","1129757177.92","0","0.00516719242902208","0","0","0.05362776025236604","1783583525532671618","0","0","0.934360598718111","0","0.934360598718111","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000628.SZ","高新发展","0.086000","801720.SI","建筑装饰","44.28","-0.09999999999999999","0","0","431822138.49","0","-0.0086","0","0","0.08048780487804864","1783583524674564345","0","0","-2.94000378728933","0","-2.94000378728933","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000636.SZ","风华高科","0.686000","801080.SI","电子","64.55","0.06342668863261944","0","0","5842999381.79","0","0.0435107084019769","0","0","0.09621087314662279","1783583521492424071","0","0","1.55029441998466","0","1.55029441998466","强势观察","综合动量、资金和当日强度较高"
"2026-07-09 15:51:58.867","000650.SZ","仁和药业","0.058000","801150.SI","医药生物","5.22","-0.011363636363636362","0","0","86359718.5","0","-0.000659090909090909","0","0","0.030303030303030328","1783583526825094414","0","0","-0.504638376255672","0","-0.504638376255672","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000672.SZ","上峰材料","0.118000","","未映射","21.8","0.09989909182643794","0","0","819350692.56","0","0.0117880928355197","0","0","0.0751765893037337","1783583521492444351","0","0","2.55240715962619","0","2.55240715962619","强势观察","综合动量、资金和当日强度较高"
"2026-07-09 15:51:58.867","000676.SZ","智度股份","0.053000","801760.SI","传媒","5.17","-0.0019305019305019305","0","0","156282361.21","0","-0.000102316602316602","0","0","0.04054054054054053","1783583524928657977","0","0","-0.245454353202392","0","-0.245454353202392","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000680.SZ","山推股份","0.093000","801890.SI","机械设备","10.13","-0.025024061597690085","0","0","201982936.15","0","-0.00232723772858518","0","0","0.04427333974975929","1783583525947789808","0","0","-0.879971092425194","0","-0.879971092425194","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000681.SZ","视觉中国","0.115000","801760.SI","传媒","18.28","-0.03484688489968321","0","0","617945566.78","0","-0.00400739176346357","0","0","0.04910242872228087","1783583525119978378","0","0","-1.14986217467347","0","-1.14986217467347","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000682.SZ","东方电子","0.104000","801730.SI","电力设备","11.71","-0.025790349417637273","0","0","295295414","0","-0.00268219633943428","0","0","0.040765391014975054","1783583523712780584","0","0","-0.901025553314992","0","-0.901025553314992","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000685.SZ","中山公用","0.084000","801970.SI","环保","11.53","0.04249547920433996","0","0","321493615.03","0","0.00356962025316456","0","0","0.03526220614828215","1783583526825108384","0","0","0.975190237440999","0","0.975190237440999","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000686.SZ","东北证券","0.121000","801790.SI","非银金融","8.52","0.010676156583629894","0","0","233212346.39","0","0.00129181494661922","0","0","0.020166073546856456","1783583523471687291","0","0","0.100925155550763","0","0.100925155550763","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000688.SZ","国城矿业","0.166000","801050.SI","有色金属","32.53","-0.01603145795523291","0","0","828693652.87","0","-0.00266122202056866","0","0","0.06987295825771321","1783583525532606548","0","0","-0.632891057014188","0","-0.632891057014188","中性","信号未达到强势、放量或风险阈值"
"2026-07-09 15:51:58.867","000690.SZ","宝新能源","0.105000","801160.SI","公用事业","4.51","-0.0066079295154185015","0","0","198630678.25","0","-0.000693832599118943","0","0","0.022026431718061595","1783583523898792853","0","0","-0.373970967440469","0","-0.373970967440469","中性","信号未达到强势、放量或风险阈值"
