"snapshot_time","symbol","stock_code","component_name","sw_level1_name","close","change_rate","return_5m","turnover_delta_5m","resonance_score_5m","risk_score_5m","composite_score","valuation_bucket","market_cap_bucket","fundamental_quality_flag","fundamental_score","has_recent_contract","has_near_unlock","unlock_risk_level","event_catalyst_score","event_tags","news_count_3d","news_count_15d","matched_topics","sentiment_rule","novelty_flag","news_catalyst_score","attention_rank_score","comment_score","focus_score","attention_bucket","attention_catalyst_flag","explain_score","explain_label","explain_confidence"
"2026-07-16 15:00:00.255","000969.SZ","000969","安泰科技","有色金属","16.83","-0.0349770642201835","0.00357781753130583","16711619.25","0.0595048832156247","0","1.28016589462375","中性","大","中性","0.5",,,,,,,,,,,,,,,"缺失","False","0.5","暂无解释","低"
"2026-07-16 15:00:00.255","000970.SZ","000970","中科三环","有色金属","14.79","-0.0383615084525358","0.000676589986468186","31205943.5","0.0116753174313107","0","1.02462899417859","高估值","大","风险","-1.5",,,,,,,,,,,,,,,"缺失","False","-1.5","暂无解释","低"
"2026-07-16 15:00:00.255","000973.SZ","000973","佛塑科技","基础化工","11.97","-0.0377813504823151","0.000836120401337775","12150731.82","0.0136395485287081","0","-0.107770863677868","中性","大","中性","-0.5",,,,,,,,,,,,,,,"缺失","False","-0.5","暂无解释","低"
"2026-07-16 15:00:00.255","000990.SZ","000990","诚志股份","基础化工","9.56","0","0.0052576235541536","21412702","0.0887460299790404","0","3.17764296881657","高估值","大","中性","-0.5",,,,,,,,,,,,,,,"缺失","False","-0.5","暂无解释","低"
"2026-07-16 15:00:00.255","000998.SZ","000998","隆平高科","农林牧渔","8.09","0.0074719800747198","-0.00123456790123454","3702325","-0.0186721874428963","0.0186721874428963","-1.06170411390395","高估值","大","中性","-0.5",,,,,,,,,,,,,,,"缺失","False","-0.5","暂无解释","低"
"2026-07-16 15:00:00.255","001227.SZ","001227","兰州银行","银行","2.11","0","0","1174512","0","0","-0.062675389100202","低估值","大","稳健","1.5",,,,,,,,,,,,,,,"缺失","False","1.5","基本面支撑","低"
"2026-07-16 15:00:00.255","001233.SZ","001233","海安集团","汽车","42.8","-0.00696055684454756","-0.000467071461933749","1408269.26000001","-0.00661273832008678","0.00661273832008678","-0.737066155213503","低估值","中","稳健","1.5",,,,,,,,,,,,,,,"缺失","False","1.5","基本面支撑","低"
"2026-07-16 15:00:00.255","001236.SZ","001236","弘业期货","非银金融","7.07","-0.00141242937853107","0.00141643059490095","978218","0.0195375196180318","0","0.412873637788522","高估值","中","中性","-0.5",,,,,,,,,,,,,,,"缺失","False","-0.5","暂无解释","低"
"2026-07-16 15:00:00.255","001267.SZ","001267","汇绿生态","建筑装饰","38.8","-0.0466830466830467","-0.000515198351365356","17106332.4","-0.00858060758741519","0.00858060758741519","-0.961759981858828","高估值","大","风险","-1.5",,,,,,,,,,,,,,,"缺失","False","-1.5","暂无解释","低"
"2026-07-16 15:00:00.255","001287.SZ","001287","中电港","电子","25.23","-0.0532833020637899","0.00437898089171972","12014261.3200001","0.071384416924953","0","0.77084335726624","中性","大","中性","-0.5",,,,,,,,,,,,,,,"缺失","False","-0.5","暂无解释","低"
"2026-07-16 15:00:00.255","001301.SZ","001301","尚太科技","电力设备","51.41","-0.011155991536834","-0.00310257901880946","3757327.60000002","-0.0469706225608173","0.0469706225608173","-3.64815586498505","低估值","大","稳健","1.5",,,,,,,,,,,,,,,"缺失","False","1.5","基本面支撑","低"
"2026-07-16 15:00:00.255","001337.SZ","001337","四川黄金","有色金属","34.93","-0.0132768361581921","0.00402414486921531","4606677","0.0617425253434017","0","1.28330871295932","中性","大","中性","0.5",,,,,,,,,,,,,,,"缺失","False","0.5","暂无解释","低"
"2026-07-16 15:00:00.255","001339.SZ","001339","智微智能","计算机","88.01","-0.0134514067929604","0.00399269906456774","14683836.4","0.0658885498812608","0","1.90555178021204","高估值","大","风险","-1.5",,,,,,,,,,,,,,,"缺失","False","-1.5","暂无解释","低"
"2026-07-16 15:00:00.255","001359.SZ","001359","平安电工","基础化工","106.88","-0.0249064866344312","0.0065925786400451","9043496.5","0.105597001171562","0","2.19690133801037","高估值","大","中性","-0.5",,,,,,,,,,,,,,,"缺失","False","-0.5","暂无解释","低"
