"symbol","stock_code","component_name","sw_level1_name","pe_ttm","pb_mrq","ps_ttm","pcf_ocf_ttm","total_market_cap","notlimited_marketcap_a","valuation_bucket","market_cap_bucket","fundamental_quality_flag","fundamental_score","data_status"
"002537.SZ","002537","海联金汇","汽车","20.8139","1.4308","0.9588","12.419","6280989585.75","6263339935.75","低估值","中","稳健","1.5","ok"
"002539.SZ","002539","云图控股","基础化工","14.2551","1.2867","0.5737","39.0503","12499940936.7","9209364018.75","低估值","大","稳健","1.5","ok"
"002541.SZ","002541","鸿路钢构","建筑装饰","22.5207","1.4675","0.6429","21.8921","14462800126.4","10399934246.24","低估值","大","稳健","1.5","ok"
"002544.SZ","002544","普天科技","通信","429.7427","2.8771","2.2061","74.1703","10718408767.5","10717376607","高估值","中","中性","-0.5","ok"
"002545.SZ","002545","东方铁塔","基础化工","14.5499","1.9972","3.8187","8.6627","20402618161.2","18534684811.2","低估值","大","稳健","1.5","ok"
"002549.SZ","002549","凯美特气","基础化工","216.6329","4.9631","16.6739","92.0233","10298102413.81","10253844580.06","高估值","中","中性","-0.5","ok"
"002550.SZ","002550","千红制药","医药生物","28.6177","3.2373","6.2498","21.5837","9240156000","6795754099.6","中性","中","中性","0.5","ok"
"002557.SZ","002557","洽洽食品","食品饮料","24.5108","1.8401","1.3891","-153.8206","10036168279.04","10004694103.04","低估值","中","中性","0.5","ok"
"002563.SZ","002563","森马服饰","纺织服饰","15.439","1.3052","0.9881","7.993","15275491207.2","12514216119.3","低估值","大","稳健","1.5","ok"
"002572.SZ","002572","索菲亚","轻工制造","9.056","1.0462","0.8707","78.5453","7704377312","5211708960","低估值","中","稳健","1.5","ok"
"002588.SZ","002588","史丹利","基础化工","9.0002","1.2377","0.7559","22.265","9779562910.2","7289824479.3","低估值","中","稳健","1.5","ok"
"002597.SZ","002597","金禾实业","基础化工","57.1837","1.4542","2.2433","18.3727","11497111131.94","11475403148.37","中性","大","中性","0.5","ok"
"002605.SZ","002605","姚记科技","传媒","18.5845","2.2251","3.2101","14.707","8664520582.75","7018323420.5","低估值","中","稳健","1.5","ok"
"002611.SZ","002611","东方精工","机械设备","41.5398","3.2035","3.4581","26.4552","18283634338.16","15079515248","中性","大","中性","0.5","ok"
"002617.SZ","002617","露笑科技","公用事业","69.0835","1.983","3.3884","36.7926","12772373745.57","12561289922.28","中性","大","中性","0.5","ok"
"002626.SZ","002626","金达威","食品饮料","32.2618","2.0793","2.7317","16.1991","9155139840.32","9154014090.32","中性","中","中性","0.5","ok"
"002635.SZ","002635","安洁科技","电子","88.7085","1.7457","2.1155","16.3103","10192160689.2","6110986534.05","高估值","中","中性","-0.5","ok"
"002636.SZ","002636","金安国纪","电子","143.997","18.0931","14.4337","932.6595","69007120000","68657858377.43","高估值","大","中性","-0.5","ok"
"002639.SZ","002639","雪人集团","机械设备","301.9426","3.5514","3.3828","-6796.1974","9105986428.28","7711117251.6","高估值","中","风险","-1.5","ok"
"002643.SZ","002643","万润股份","电子","50.3","2.0569","3.8002","13.3886","14709354401.5","14489572418.2","中性","大","中性","0.5","ok"
"002651.SZ","002651","利君股份","国防军工","185.0541","2.7171","10.1781","34.512","7616600200","4167467034.17","高估值","中","中性","-0.5","ok"
"002654.SZ","002654","万润科技","电子","450.1223","8.226","2.2955","77.4232","12865504719.68","12864591519.68","高估值","大","中性","-0.5","ok"
"002668.SZ","002668","TCL智家","家用电器","10.3111","3.0228","0.6182","4.157","11632515622.44","11632515622.44","中性","大","中性","0.5","ok"
"002675.SZ","002675","东诚药业","医药生物","53.8343","2.5663","4.1037","25.3216","11000106704.7","9916742479.96","中性","大","中性","0.5","ok"
"002681.SZ","002681","奋达科技","电子","-62.671","4.1013","3.4778","55.9255","8739956369.84","7642319663.66","高估值","中","中性","-0.5","ok"
"002690.SZ","002690","美亚光电","机械设备","18.1635","4.3616","5.4613","15.2591","13198144344","6488855344.4","中性","大","中性","0.5","ok"
"002698.SZ","002698","博实股份","机械设备","25.5377","2.9743","4.6473","28.4492","12567281756.75","10374460014.25","中性","大","中性","0.5","ok"
"002701.SZ","002701","奥瑞金","轻工制造","14.2997","1.199","0.479","4.7907","12286850251.2","12275355412.8","低估值","大","稳健","1.5","ok"
"002705.SZ","002705","新宝股份","家用电器","11.1142","1.0647","0.5849","9.5248","9239146376.4","9190839004.72","低估值","中","稳健","1.5","ok"
"002706.SZ","002706","良信股份","电力设备","51.1799","2.5856","2.4677","54.0667","11186325199.2","9107236652.4","中性","大","中性","0.5","ok"
"002716.SZ","002716","湖南白银","有色金属","44.9663","5.1803","1.5294","-105.0228","21032010412.7","17320164013.5","中性","大","中性","-0.5","ok"
"002727.SZ","002727","一心堂","医药生物","23.3889","0.873","0.384","3.5171","6529485993.75","4381006799.2","低估值","中","稳健","1.5","ok"
"002737.SZ","002737","葵花药业","医药生物","-38.3524","1.9878","3.1416","14.2356","7848960000","7848955968","高估值","中","中性","-0.5","ok"
